Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
11,125354.015,134000,X,,Employee Is Killed In Fall From Roof,"Abstract:     At 8:30 a.m. on April 11, 2020, Employee #1, employed by a roofing company, was handling roofing insulation sheets on the roof of a four-story commercial building.  He was close to the edge and outside of the warning line when he fell, a fall height of 60 feet.  A witness reported that a gust of wind blew Employee #1 off the roof.  Employee #1, who sustained traumatic injuries, including to his head, face, and neck, was killed.","Keywords:     Construction, Face, Fall, Fall Protection, Head, High Wind, Material Handling, Neck, Roof, Roofer, Warning Line, Windy",Commercial building,Other,,60,X,42,M,Fatality,Roofers: Helpers,51,38,29.0,16.0,22,30.01,07:54:00,39 °F,25 °F,57 %,W,29.70 in,0.0 in,Fair,1701,MA,Spring,13 mph,22 mph,42.3083086,-71.4176271,MA 01701,2020-04-11,32.9,9.9,159.6,13.6,9
12,123338.015,111100,,,Employee Fractures Hip In Fall From Roof,"Abstract:     At 2:00 p.m. on January 10, 2020, an employee was coming down from a roof as the weather had changed rapidly causing the roof to become slippery. As the employee was exiting the roof, he slipped and fell approximately 20 feet to the frozen ground below.  The employee was hospitalized to treat a fractured hip and ankle.","Keywords:     Ankle, Blunt force, Blunt force trauma, Descending, Fall, Fall From Elevation, Fracture, Hip, Roof, Slip, Slippery Surface",Other building,New project or new addition,,,,50,M,Hospitalized injury,Carpenter,36,14,28.0,1.0,16,30.24,13:53:00,32 °F,23 °F,69 %,SW,29.94 in,0.0 in,Cloudy,4253,ME,Winter,7 mph,0 mph,44.4097763,-70.2179385,ME 04253,2020-01-10,57.1,9.9,22.3,1.9,1
13,125452.015,134000,X,,Employee Is Killed In Fall From Roof,"Abstract:     At 1:00 p.m. on December 28, 2019, an employee was working for a construction company. As the employee was working from the roof of a single family residence as part of a multiemployer project, he slipped and fell to the ground and was killed.","Keywords:     Fall, Fall Protection, Frozen, Residential Construction, Roof, Roofer, Slippery Surface, Walking Surface",Other building,New project or new addition,,16,X,25,M,Fatality,Roofers,43,31,38.0,24.0,18,29.06,12:54:00,43 °F,28 °F,56 %,NNW,29.04 in,0.0 in,Fair,1464,MA,Winter,12 mph,20 mph,42.5412629,-71.6522835,MA 01464,2019-12-28,2.9,9.9,56.5,5,4
14,122948.015,111100,,,Employee Sustains Injuries To Upper Body In Fall From Roof,"Abstract:     At 9:25 a.m. on December 13, 2019, an employee working as a roofer for a roofing contractor was accessing a roof to connect to fall protection. The rope slipped and the employee fell off the roof striking the hard ground below. The employee fractured his shoulders and upper arm and sustained chest injuries, requiring hospitalization.","Keywords:     Arm, Blunt force, Blunt force trauma, Chest, Construction, Fall, Fall From Elevation, Fall Protection, Falling Object, Harness, Multi-employer Worksite, Multiemployer, Residential Construction, Roof, Roofer, Rope, Shoulder, Shoulder Bone, Slip, Struck Against",Multi-family dwelling,New project or new addition,,15,,17,M,Hospitalized injury,Roofers,41,24,34.0,13.0,9,30.57,08:51:00,25 °F,15 °F,66 %,CALM,30.47 in,0.0 in,Partly Cloudy,4062,ME,Winter,0 mph,0 mph,43.8053448,-70.4116927,ME 04062,2019-12-13,67.5,8.2,49.8,4.3,4
15,121513.015,111700,,,"Employee Punctures Lung, Fractures Ribs In Fall Through Roof","Abstract:     On November 6, 2019, an employee working as a roofer for a roofing and gutter contractor was working from the roof of a building. The roof framing broke causing the employee to fall through a hole in the roof to the ground. The employee fractured his ribs and shoulder and punctured a lung, requiring hospitalization.","Keywords:     Blunt force, Blunt force trauma, Broke, Chest, Construction, Fall, Fall From Elevation, Fall Protection, Fracture, Framing, Lung, Puncture Wound, Rib, Roof, Roof Opening, Roofer, Safety Device, Shoulder, Work Surface",Other building,Alteration or rehabilitation,,25,,30,M,Hospitalized injury,Roofers,52,37,38.0,18.0,16,30.2,08:56:00,43 °F,29 °F,56 %,WSW,30.13 in,0.0 in,Fair,3833,NH,Fall,10 mph,0 mph,42.9778435,-70.9509807,NH 03833,2019-11-06,14.2,9.9,147.6,12.8,6
16,121413.015,111400,,,Employee Suffers Internal Bruising In Fall From Roof,"Abstract:     At 8:30 a.m. on October 28, 2019, an employee was working on the edge of a roof and was attached to an anchor point and lifeline. The anchor point and lifeline became loose and detached from the structure, causing the employee to fall to a grassy area below.  The employee sustained internal bruising, lacerations, and scrapes. The employee was hospitalized.","Keywords:     Anchor, Attachment, Contusion, Fall, Fall From Elevation, Fall Protection, Internal , Internal Injuries, Laceration, Lifeline, Roof, Roofer, Scrape",Multi-family dwelling,Alteration or rehabilitation,,26,,24,M,Hospitalized injury,Roofers,55,50,50.0,46.0,17,30.32,08:54:00,52 °F,47 °F,83 %,N,30.13 in,0.0 in,Cloudy,2119,MA,Fall,8 mph,0 mph,42.3203309,-71.0867654,MA 02119,2019-10-28,,10,,,
17,123871.015,155010,,,Employee Fractures Ankle And Back In Fall From Scaffold,"Abstract:     At 10:45 a.m. on October 25, 2019, an employee was removing shingles from the roof.  The employee unhooked their personal fall arrest system (PFAS) and stepped on scaffolding that was no longer supported by straps.  The employee fell from the scaffold and fractured his ankle and back, resulting in hospitalization.","Keywords:     Ankle, Back, Fall, Fall From Elevation, Fall Protection, Fracture, Scaffold",Other building,Maintenance or repair,,18,,39,M,Hospitalized injury,Construction Laborer,51,44,45.0,40.0,7,29.46,09:56:00,47 °F,42 °F,83 %,CALM,29.46 in,0.0 in,Cloudy,5769,VT,Fall,0 mph,0 mph,43.9174719,-73.0920679,VT 05769,2019-10-25,,,,,
18,121111.015,112300,,,Employee Suffers Multiple Injuries In Fall From Roof,"Abstract:     At 12:00 noon on October 3, 2019, an employee was installing roof shingles on the porch roof surface of a residential structure when he slipped on the granular surface of the roof shingles and fell off the roof. The employee fell approximately fourteen feet to the lower level and struck chunks of concrete that were on the ground. The employee was hospitalized to treat lacerations to his liver and spleen, bruised his small intestines, broke his right wrist and split the tissue to the bone on his right elbow. The employee was not using any form of fall protection while working on the roof.","Keywords:     Blunt force, Blunt force trauma, Contusion, Elbow, Fall, Fall From Elevation, Fall Protection, Fracture, Internal Injuries, Laceration, Liver, Roof, Roofer, Slip, Spleen, Wrist",Single family or duplex dwelling,New project or new addition,,22,,42,M,Hospitalized injury,Roofers,55,49,50.0,41.0,16,30.14,11:51:00,55 °F,42 °F,62 %,VAR,30.14 in,0.0 in,Cloudy,2864,RI,Fall,7 mph,0 mph,41.9560974,-71.4306669,RI 02864,2019-10-03,,,,,
18,121111.015,112300,,,Employee Suffers Multiple Injuries In Fall From Roof,"Abstract:     At 12:00 noon on October 3, 2019, an employee was installing roof shingles on the porch roof surface of a residential structure when he slipped on the granular surface of the roof shingles and fell off the roof. The employee fell approximately fourteen feet to the lower level and struck chunks of concrete that were on the ground. The employee was hospitalized to treat lacerations to his liver and spleen, bruised his small intestines, broke his right wrist and split the tissue to the bone on his right elbow. The employee was not using any form of fall protection while working on the roof.","Keywords:     Blunt force, Blunt force trauma, Contusion, Elbow, Fall, Fall From Elevation, Fall Protection, Fracture, Internal Injuries, Laceration, Liver, Roof, Roofer, Slip, Spleen, Wrist",Single family or duplex dwelling,New project or new addition,,22,,42,M,Hospitalized injury,Roofers,55,49,50.0,41.0,16,30.14,11:51:00,55 °F,42 °F,62 %,VAR,30.14 in,0.0 in,Cloudy,2864,RI,Fall,7 mph,0 mph,41.9560974,-71.4306669,RI 02864,2019-10-03,,,,,
19,120626.015,112300,,,Employee Suffers Multiple Injuries In Fall From Roof,"Abstract:     At 12:00 noon on October 3, 2019, an employee was installing roof shingles on the porch roof surface of a residential structure when he slipped on the granular surface of the roof shingles and fell off the roof. The employee fell approximately fourteen feet to the lower level and struck chunks of concrete that were on the ground. The employee was hospitalized to treat lacerations to his liver and spleen, bruised his small intestines, broke his right wrist and split the tissue to the bone on his right elbow. The employee was not using any form of fall protection while working on the roof.","Keywords:     Blunt force, Blunt force trauma, Concrete Block, Contusion, Elbow, Fall, Fall From Elevation, Fall Protection, Fracture, Internal Injuries, Laceration, Liver, Roof, Roofer, Slip, Slippery Surface, Spleen, Wrist",Single family or duplex dwelling,New project or new addition,,22,,42,M,Hospitalized injury,Roofers,55,49,50.0,41.0,16,30.14,11:51:00,55 °F,42 °F,62 %,VAR,30.14 in,0.0 in,Cloudy,2864,RI,Fall,7 mph,0 mph,41.9560974,-71.4306669,RI 02864,2019-10-03,,,,,
19,120626.015,112300,,,Employee Suffers Multiple Injuries In Fall From Roof,"Abstract:     At 12:00 noon on October 3, 2019, an employee was installing roof shingles on the porch roof surface of a residential structure when he slipped on the granular surface of the roof shingles and fell off the roof. The employee fell approximately fourteen feet to the lower level and struck chunks of concrete that were on the ground. The employee was hospitalized to treat lacerations to his liver and spleen, bruised his small intestines, broke his right wrist and split the tissue to the bone on his right elbow. The employee was not using any form of fall protection while working on the roof.","Keywords:     Blunt force, Blunt force trauma, Concrete Block, Contusion, Elbow, Fall, Fall From Elevation, Fall Protection, Fracture, Internal Injuries, Laceration, Liver, Roof, Roofer, Slip, Slippery Surface, Spleen, Wrist",Single family or duplex dwelling,New project or new addition,,22,,42,M,Hospitalized injury,Roofers,55,49,50.0,41.0,16,30.14,11:51:00,55 °F,42 °F,62 %,VAR,30.14 in,0.0 in,Cloudy,2864,RI,Fall,7 mph,0 mph,41.9560974,-71.4306669,RI 02864,2019-10-03,,,,,
20,118128.015,111500,,,Employee Fractures Leg In Fall From Roof,"Abstract:     At 11:55 a.m. on June 4, 2019, Employee #1 was engaged in roofing work at a two-story multifamily structure.  The employee fell and struck against the surface deck.  He was transported to the hospital and admitted for treatment of a fractured leg.","Keywords:     Blunt force trauma, Deck, Fall, Fall Protection, Fracture, Leg, Residential Construction, Roof, Roofer, Struck Against",Multi-family dwelling,Alteration or rehabilitation,,25,,54,M,Hospitalized injury,Roofers,69,45,56.0,39.0,17,30.11,11:53:00,64 °F,45 °F,50 %,SW,30.10 in,0.0 in,Fair,6418,CT,Summer,8 mph,0 mph,41.3236259,-73.0795545,CT 06418,2019-06-04,,,,,
21,121407.015,111500,,,"Employee Fractures Wrist, Ankle In Fall Through Skylight","Abstract:     On May 17, 2019, Employee #1 was engaged in roofing maintenance work at a two-story commercial warehouse.  He was replacing screws on the metal roof when he fell through an unprotected/unguarded skylight, a fall height of 24 feet, and struck a copier machine being stored in the warehouse.  The employee was transported to the hospital and admitted for treatment of fractures to the wrist and ankle.","Keywords:     Ankle, Blunt force trauma, Construction, Fall, Fall Protection, Fracture, Maintenance, Printer, Rehabilitation, Repair, Roof, Skylight, Struck Against, Unguarded, Unprotected, Work Surface, Wrist",Commercial building,Alteration or rehabilitation,,28,,25,M,Hospitalized injury,Roofers: Helpers,74,48,59.0,45.0,18,29.4,10:53:00,73 °F,51 °F,46 %,SSW,29.27 in,0.0 in,Fair,6801,CT,Spring,18 mph,22 mph,41.3818307,-73.399589,CT 06801,2019-05-17,,,,,
22,118613.015,111500,,,Employee Falls From Scaffold And Fractures Rib,"Abstract:     On March 21, 2019, Employee #1, employed by a roofing contractor, was engaged in roofing activity at a single family residence.  He was working from a ladder jack scaffold when the scaffold broke.  The employee fell, a fall height of 11 feet, and struck the concrete surface.  He was transported to the hospital and admitted for treatment of a fractured rib.","Keywords:     Blunt force trauma, Concrete, Elevated Work Platform, Equipment Failure, Fall, Fall Protection, Fracture, Ladder Jack Scaffold, Rehabilitation, Repair, Residential Construction, Rib, Roof, Roofer, Struck Against, Work Surface",Other building,Alteration or rehabilitation,,11,,35,M,Hospitalized injury,Roofers: Helpers,48,36,43.0,31.0,18,30.28,13:53:00,48 °F,37 °F,66 %,E,30.06 in,0.0 in,Cloudy,6418,CT,Spring,13 mph,0 mph,41.3236259,-73.0795545,CT 06418,2019-03-21,,,,,
23,113039.015,112300,X,,An Employee Falls From Roof And Is Killed,"Abstract:     At 11:00 a.m. on January 28, 2019, an employee was working on cutting openings into an existing roof for new heating/cooling units.  The employees fell through an opening to a concrete floor 23 feet below and was killed.","Keywords:     Fall, Fall Protection, Roof Opening",Other building,Alteration or rehabilitation,,23,X,50,M,Fatality,Roofers,40,24,28.0,5.0,14,30.07,10:51:00,27 °F,8 °F,45 %,N,30.07 in,0.0 in,Mostly Cloudy,2907,RI,Winter,12 mph,0 mph,41.8033434,-71.4240294,RI 02907,2019-01-28,,,,,
24,113682.015,111400,,,"Employee Falls From Roof And Receives Fractures To Arm, Pelv","Abstract:     At 10:00 a.m. on December 29, 2018, an employee worked to replace an original ridge cap on a roof. At some point, the employee stepped out of a lull basket to recover fallen material. The employee then fell approximately twenty-five feet and was hospitalized for treatment of fractures to the arm, pelvis and ribs.","Keywords:     Arm, Basket, Fall, Fall Protection, Fracture, Pelvis, Rib, Roof",Commercial building,Alteration or rehabilitation,,25,,54,M,Hospitalized injury,Construction Laborer,55,34,54.0,23.0,22,30.07,09:51:00,52 °F,43 °F,71 %,NW,29.80 in,0.0 in,Mostly Cloudy,2038,MA,Winter,18 mph,31 mph,42.083153,-71.4016166,MA 02038,2018-12-29,,,,,
25,114718.015,111700,X,,Employee Is Killed In Fall From Ladder,"Abstract:     At 1:30 p.m. on December 20, 2018, an employee was climbing down a ladder from the roof and fell.  The employee was killed.","Keywords:     Fall, Ladder, Roof",Single family or duplex dwelling,Maintenance or repair,,15,X,34,M,Fatality,Roofers,39,15,29.0,10.0,6,29.5,13:53:00,35 °F,19 °F,52 %,CALM,29.42 in,0.0 in,Fair,3257,NH,Winter,0 mph,0 mph,43.4171396,-71.996236,NH 03257,2018-12-20,,,,,
26,112025.015,134000,X,,Employee Falls Through Roof Opening And Is Killed,"Abstract:     At 10:15 a.m. on December 18, 2018, on a low slope roof, a subcontractor's employee entered an area protected by guardrails and fell through a floor hole that was covered with a sheet of plastic.  The employee fell approximately 90 feet before landing on the ground, struck his head and was killed.","Keywords:     Fall, Head, Roof Opening, Struck Against",Multi-family dwelling,Alteration or rehabilitation,,90,X,41,M,Fatality,Roofers,30,22,12.0,5.0,29,29.77,09:53:00,23 °F,7 °F,50 %,NNW,29.57 in,0.0 in,Windy,1830,MA,Winter,24 mph,39 mph,42.7822562,-71.0703025,MA 01830,2018-12-18,,,,,
27,112268.015,111100,X,,Employee Is Killed In Fall From Roof,"Abstract:     At 11:53 a.m. on December 13, 2018, an employee was climbing down off of a roof onto a ladder jack scaffolding plank.  The employee lost his footing and fell 20 feet to the ground.  The employee was not wearing any fall protection.  The employee was killed.","Keywords:     Fall, Fall Protection, Lost Balance, Roof, Scaffold, Scaffolding",Multi-family dwelling,Other,,20,X,30,M,Fatality,Roofers,29,8,15.0,2.0,7,30.51,11:51:00,23 °F,5 °F,46 %,CALM,30.47 in,0.0 in,Fair,4102,ME,Winter,0 mph,0 mph,43.6625183,-70.3076025,ME 04102,2018-12-13,,,,,
28,126725.015,134000,,,Employee Is Injured In Fall From Roof,"Abstract:     At 3:00 p.m. on November 26, 2018, Employee #1 was engaged in roofing activity for a new one-story residential structure.  The employee fell, a fall height of 10 feet, and the side of his body impacted the ground.  The employee received medical treatment for body pain but was not hospitalized.","Keywords:     Blunt force trauma, Fall, Fall Protection, Residential Construction, Roof, Struck Against, Torso",Single family or duplex dwelling,New project or new addition,,10,,22,M,Non Hospitalized injury,Roofers: Helpers,44,35,41.0,35.0,22,29.88,15:05:00,41 °F,41 °F,100 %,ENE,29.76 in,0.0 in,Cloudy,1913,MA,Fall,8 mph,0 mph,42.8499711,-70.9245636,MA 01913,2018-11-26,,,,,
29,110955.015,134000,,,"Employee Falls From Ladder, Breaks Pelvis And Fingers","Abstract:     At 10:50 a.m. on November 8, 2018, Employee #1, employed by a roofing company, was engaged in roofing activity for a new one-story commercial building.  As he attempted to descend a fixed roof hatch ladder, he fell and struck the concrete surface, a fall height of 18 feet.  Employee #1 was transported to the hospital, admitted, and treated for a fractured pelvis and multiple fractured fingers.","Keywords:     Construction, Fall, Fall Protection, Finger, Fixed Ladder, Fracture, Pelvis, Roof, Roofer",Commercial building,New project or new addition,,18,,30,M,Hospitalized injury,Roofers: Helpers,56,45,31.0,29.0,15,30.3,10:54:00,49 °F,30 °F,48 %,WNW,30.16 in,0.0 in,Partly Cloudy,1906,MA,Fall,10 mph,0 mph,42.4678099,-71.0119913,MA 01906,2018-11-08,,,,,
30,111312.015,111400,,,Employee Sustains Concussion In Fall From Ladder,"Abstract:     At 11:45 a.m. on November 5, 2018, Employee #1, employed by a construction company, was installing a metal roof at a commercial building.  He was working from an extension ladder when the ladder kicked out and he fell, a fall height of 8 feet.  Employee #1 struck the concrete sidewalk and sustained a concussion.","Keywords:     Concrete, Concussion, Construction, Extension Ladder, Fall, Fall Protection, Falling Object, Head, Kick Back, Roof, Roofer, Unsecured, Unstable Position",Commercial building,Alteration or rehabilitation,,8,,35,M,Non Hospitalized injury,Roofers: Helpers,52,46,50.0,37.0,21,30.56,11:54:00,51 °F,41 °F,68 %,ESE,30.49 in,0.0 in,Cloudy,2169,MA,Fall,12 mph,0 mph,42.2466694,-71.0043883,MA 02169,2018-11-05,,,,,
31,110512.015,111700,,,Employee Fractures Rib And Back And Ruptures Spleen In Fall,"Abstract:     At 5:00 p.m. on October 25, 2018, an employee was laying a tarp over some roofing insulation on a roof. As the employee walked backwards to lay the tarp, he stepped off of the roof and fell eleven feet. The employee was hospitalized with fractures to his ribs and back and a ruptured spleen.","Keywords:     Back, Fall, Fall Protection, Fracture, Rib, Roof, Roofer, Rupture, Spleen, Walking Backward",Single family or duplex dwelling,Alteration or rehabilitation,,9,,38,M,Hospitalized injury,Roofers,45,35,32.0,19.0,21,29.77,16:53:00,42 °F,23 °F,47 %,NW,29.70 in,0.0 in,Mostly Cloudy,3101,NH,Fall,20 mph,26 mph,42.9897804,-71.4630311,NH 03101,2018-10-25,,,,,
32,114343.015,111500,,,Employee Receives Clavicle And Rib Fractures In Fall From Ro,"Abstract:     At 1:00 p.m. on October 19, 2018, and employee worked as a roofer on a residential house. At some point, the employee slipped and fell approximately twenty-one feet and received fractures to the clavicle and three ribs. The employee was hospitalized for treatment.","Keywords:     Fall, Fall Protection, Fracture, Rib, Roof, Roofer, Shoulder, Slip",Single family or duplex dwelling,Alteration or rehabilitation,,30,,44,M,Hospitalized injury,Roofers,61,33,47.0,29.0,13,30.31,12:53:00,56 °F,38 °F,51 %,SW,30.16 in,0.0 in,Partly Cloudy,6457,CT,Fall,13 mph,20 mph,41.5524195,-72.6658539,CT 06457,2018-10-19,,,,,
33,112120.015,112000,,,Employee Sustains Multiple Injuries In Fall From Roof,"Abstract:     At 10:00 a.m. on October 14, 2018, Employee #1, employed by a construction company, was engaged in roofing activity at a residential construction project. He was on the roof without fall protection and carrying bundles of shingles when he fell, a fall height of 18 feet.  The employee was transported to the hospital for treatment of multiple fractures, a punctured lung, and a concussion.","Keywords:     Blunt force trauma, Brain, Collapsed lung, Concussion, Fall, Fall Protection, Fracture, Head, Material Handling, Puncture, Residential Construction, Roof, Roofer",Single family or duplex dwelling,New project or new addition,,18,,33,M,Hospitalized injury,Roofers,59,37,43.0,36.0,12,30.04,12:51:00,56 °F,40 °F,55 %,WSW,30.02 in,0.0 in,Mostly Cloudy,6071,CT,Fall,12 mph,0 mph,41.9943803,-72.4534864,CT 06071,2018-10-14,,,,,
